Run,GasUsed
1,29284
2,29284
3,29284
4,29284
5,29284
6,29284
7,29284
8,29284
9,29284
10,29284
11,29284
12,29284
13,29284
14,29284
15,29284
16,29284
17,29284
18,29284
19,29284
20,29284
21,29284
22,29284
23,29284
24,29284
25,29284
26,29284
27,29284
28,29284
29,29284
30,29284
