Run,GasUsed
1,121135
2,121135
3,121135
4,121135
5,121135
6,121135
7,121135
8,121135
9,121135
10,121135
11,121135
12,121135
13,121135
14,121135
15,121135
16,121135
17,121135
18,121135
19,121135
20,121135
21,121135
22,121135
23,121135
24,121135
25,121135
26,121135
27,121135
28,121135
29,121135
30,121135
