Run,GasUsed
1,32672
2,32672
3,32672
4,32672
5,32672
6,32672
7,32672
8,32672
9,32672
10,32672
11,32672
12,32672
13,32672
14,32672
15,32672
16,32672
17,32672
18,32672
19,32672
20,32672
21,32672
22,32672
23,32672
24,32672
25,32672
26,32672
27,32672
28,32672
29,32672
30,32672
