Run,GasUsed
1,92857
2,92857
3,92857
4,92857
5,92857
6,92857
7,92857
8,92857
9,92857
10,92857
11,92857
12,92857
13,92857
14,92857
15,92857
16,92857
17,92857
18,92857
19,92857
20,92857
21,92857
22,92857
23,92857
24,92857
25,92857
26,92857
27,92857
28,92857
29,92857
30,92857
