latency
12.682
11.375
11.398
11.685
11.806
24.371
11.389
12.485
22.12
11.427
12.474
11.345
12.119
11.903
11.402
12.429
12.364
10.562
11.726
11.44


Statistic,Value
Mean,12.925099999999997
SD,3.586815489803558
95% CI,1.5719911985581918
p90,22.12
p95,24.371
